question,label
what does S. exempta larvae feeds on?,Health
what is Poaceae.,Science
what is the other name of Couch grass.,Home_and_Garden
when does the differences in appearance between the solitaria and gregaria phases become apparent.,Health
in which phase is the armyworms species dangerous to crops.,Games
why is gregaria phase dangerous to crops.,Health
when are the African armyworms noticed by farmers.,Food_and_Drink
when do the intensity of outbreak increases.,Health
what are some of the challenges faced by S. exempta.,Business_and_Industrial
During which phases are the S. exempta species susceptible to a cytoplasmic virus.,Health
how does S. exempta reduce the risk of SpexNPV,Health
what does the female S.exempta release to attract males.,People_and_Society
why do farmers have low cancer and death rates.,Health
which type of cancer are high among agricultural workers.,Health
why there is an increase of skin cancer among farmers,Health
how do you define organic?,Business_and_Industrial
how do we prevent foodborne illness?,Health
what percentage o electricity does fossil fuel accounts for?,Business_and_Industrial
how can mulching be used to prevent or control couch grass,Home_and_Garden
name one Glyphosate-based herbicides that can be used to control Couch grass in cassava garden.,Home_and_Garden
how can tillage be used to control Couch grass.,Home_and_Garden
how effective is hand-pulling as way of controlling Couch grass.,Home_and_Garden
how does reliable rainfall improve crop yield.,News
how can reliable rainfall improve soil health?,Health
how is biodiversity enhanced through reliable rainfall.,Science
how can rainfall increase water quality.,News
what is a contaminant.,Health
what is crop age?,Health
what is Crop rotation.,Food_and_Drink
how do define Field count.,Computers_and_Electronics
what is Field inspection.,Business_and_Industrial
what is Generation.,Arts_and_Entertainment
what is the role of an inspector.,Law_and_Government
Name regions in which Pastoralism is practised.,People_and_Society
how is  shifting cultivation done?,Business_and_Industrial
where area is  shifting cultivation done.,Business_and_Industrial
Name areas where substance farming is practicied.,Business_and_Industrial
what is Intensive farming.,Business_and_Industrial
where is Intensive farming practiced.,Business_and_Industrial
define Livestock management practices?,Business_and_Industrial
why should farmers implement waste management strategies.,Business_and_Industrial
why should Livestock receive appropriate veterinary care.,Pets_and_Animals
name any  veterinary care that should be given to livestock,Pets_and_Animals
name ways how farmers can manage breeding and reproduction of livestock.,Food_and_Drink
why should farmers implement disease prevention strategies.,Health
what are some of the disease prevention strategies that farmers can use.,Health
Livestock needs appropriate housing to protect them ,Pets_and_Animals
why should the housing be kept well ventilated and clean.,Home_and_Garden
why do livestock require a steady supply of food and water.,Food_and_Drink
what is Livestock management.,Business_and_Industrial
name any Livestock management practices.,Business_and_Industrial
why are Effective livestock management practices are essential.,Food_and_Drink
name any livestock diseases.,Health
how can farmers prevent livestock diseases.,Health
name the diet in which diary cows should be fed on.,Food_and_Drink
which animal require a diet that is lower in protein but higher in carbohydrates.,Food_and_Drink
why do farmers need to manage the timing and frequency of feedings.,Business_and_Industrial
why are maize planted in rows.,Food_and_Drink
How does FAO defines agricultural automation.,Business_and_Industrial
name any form of Motorized mechanization in agricultural autoation.,Autos_and_Vehicles
what is the use  autonomous crop robots.,Science
which tools are used by farmers to gather information to help automate input application.,Business_and_Industrial
which region has the adoption of motorized mechanization has stalled over the past decades.,Autos_and_Vehicles
which region has adopted automatic milking system.,Business_and_Industrial
How has agricultural automation stimulated employment.,Business_and_Industrial
what is GMO in full.,Food_and_Drink
define Genetically modified organisms.,Science
name one GMO crop used by farmers.,Food_and_Drink
what are Herbicide resistant seeds.,Food_and_Drink
what are the benefits of crop domestication.,Food_and_Drink
what is Land transformation.,People_and_Society
what is the percentage of land degradation worldwide.,People_and_Society
what does Eutrophication leads to?,Science
how does  Fertilisers  reduce terrestrial biodiversity .,Health
how does climate change affects agriculture.,People_and_Society
how has methane emissions negatively impacted crop yields.,People_and_Society
what is the WHO death estimates from pesticides poisonings.,Health
what is a major source of greenhouse gas emissions,People_and_Society
what percentage does the production of animal food produce to Green House Emission.,Food_and_Drink
what is pest control.,Home_and_Garden
what farming techniques helps to reduce the build up of a certain pest species.,Food_and_Drink
what is biological pest control.,Home_and_Garden
how is biological pest control done?,Home_and_Garden
how are mosquitoes controlled biologically.,Health
what is Mechanical pest control.,Home_and_Garden
what is fumigation.,Home_and_Garden
why is forest  pests control difficult.,Health
name any one example of forest pest.,Health
what is being used to monitor to pest populations in the canopy.,Health
what is physical pest control.,Home_and_Garden
what are Glueboards  used for?,Hobbies_and_Leisure
how are pesticides applied to crops.,Health
what is a trap crop?,Food_and_Drink
how else can you achieve pest control.,Home_and_Garden
name one plant that uses C4 carbon fixation.,Business_and_Industrial
name plants that uses C3 carbon fixation.,Science
why are maize varieties genetically modified.,Food_and_Drink
which herbicide kills all plants except those with genetic tolerance.,Health
how is low-till farming done?,Business_and_Industrial
which year was maize introduced in Uganda.,Business_and_Industrial
why has maize production improved in Uganda.,Business_and_Industrial
what are some of the technologies used by farmers in maize production.,Business_and_Industrial
which countries import  maize from Uganda.,Business_and_Industrial
which districts in Uganda produce maize.,Business_and_Industrial
which maize varieties are commonly available in East Africa.,Food_and_Drink
which variety was recommended for Northern region with shorter rains.,News
which year was Kawanda Composite A released.,Business_and_Industrial
what is the best time to plant maize,Food_and_Drink
what is depth of the soil for planting maize.,Food_and_Drink
how do you space maize when planting.,Food_and_Drink
what is the recommended spacing for long 1.,Health
how is long 2H spaced.,Business_and_Industrial
which type of farmers perform manual weeding.,Business_and_Industrial
what is the required PH for cassava growth.,Food_and_Drink
what are the ecological requirements for cassava growth.,Food_and_Drink
what is the minimum soil depth required for growing cassava,Food_and_Drink
why is cassava referred to as a short-day plant?,Food_and_Drink
what is the required humidity for cassava growth.,Food_and_Drink
"which crop can be grown at elevations up to 2,000 meters above sea level, but it grows best at lower elevations.",Food_and_Drink
which continents are cassava  referred to as an important source of food and income for millions of people.,Food_and_Drink
why cassava widely grown?,Food_and_Drink
which nutrients can we get from cassava roots.,Food_and_Drink
"name the processes in cassava growing,",Food_and_Drink
How long does cassava takes to mature.,Food_and_Drink
How are the toxic cyanide compounds removed from harvested cassava. ,Food_and_Drink
what the several challenges facing cassava production.,Food_and_Drink
What is the organic name for cassava.,Food_and_Drink
which cassava variety is grown in Brasil?,Food_and_Drink
which cassava variety was developed by the International Institute of Tropical Agriculture (IITA) and is popular in many African countries.,Food_and_Drink
why do farmers prefer TME 419 variety.,Food_and_Drink
which cassava variety is mainly grown in Thailand.,Food_and_Drink
which variety is known for its high starch content and good processing qualities.,Food_and_Drink
name the variety grown in kenya.,Food_and_Drink
is TMS 30572 cassava variety popular in nigeria?,Food_and_Drink
"which variety is grown in Colombia and is known for its high yield potential, disease resistance, and good processing qualities.",Food_and_Drink
Is uganda among the largest cassava producers in Africa?,Food_and_Drink
which other variety is developed by NARO and has good yield potential and is resistant to cassava mosaic disease and cassava brown streak disease,Food_and_Drink
which variety is popular in north and tolerant to drought.,Food_and_Drink
name the pre-cultivation requirements are important for ensuring a healthy and high-yielding cassava crop.,Food_and_Drink
what depth should the cassava garden be ploughed to.,Food_and_Drink
what kinds of seeds should be used when planting cassava.,Food_and_Drink
name different ways of planting cassava.,Food_and_Drink
what is the best spacing for cassava.,Food_and_Drink
how can a farmer control pest and disease.,Health
name the various pest and diseases that can affect cassava plants.,Health
why should the garden be harrowed after ploughing.,Home_and_Garden
what is the ridges or furrows dimensions to be created.,Arts_and_Entertainment
what is the distance of the furrows to be formed for cassava plants.,Business_and_Industrial
why do farmers apply manure.,Food_and_Drink
why should the ridges be labelled?,Hobbies_and_Leisure
why should farmers ensure proper land preparation before planting cassava.,Food_and_Drink
How is cassava planted using single stem method.,Food_and_Drink
what is the advantages of single stem planting method.,Food_and_Drink
name one demerits of single stem planting method.,Food_and_Drink
how is stake planting done?,Business_and_Industrial
why do farmers don not like stake method of planting.,Business_and_Industrial
what is the advantages of stake planting.,Business_and_Industrial
what is mound planting.,Hobbies_and_Leisure
why should you use mound planting.,Hobbies_and_Leisure
which crops can be grown together with cassava.,Food_and_Drink
How is intercropping helpful in cassava production.,Food_and_Drink
what is manual weeding.,Home_and_Garden
which type of weed control involves the use of herbicides to control weeds in the cassava field,Home_and_Garden
why does the use of herbicides requires proper training and application.,Health
what is mulching.,Home_and_Garden
why is mulching important.,Home_and_Garden
what is inter-cropping.,Arts_and_Entertainment
what is crop rotation.,Food_and_Drink
why are cover crops used in cassava cultivation.,Food_and_Drink
name any example of cover crops that can be grown together with cassava.,Food_and_Drink
what activities are necessary for ensuring healthy and high-yielding cassava crops.,Food_and_Drink
why should you cassava plant regularly.,Food_and_Drink
how long should the cassava stem be cut?,Food_and_Drink
what is the ideal spacing between cassava stems.,Food_and_Drink
how long does the cassava plant takes to mature.,Food_and_Drink
which tool can be used to cut cassava stems.,Food_and_Drink
how can you tell a cassava plant is mature.,Food_and_Drink
what is mechanical planting?,Business_and_Industrial
what are used to mark rows when planting cassava.,Food_and_Drink
name any one planting method that is suitable for large scale farmers.,Business_and_Industrial
what is the botanical name for Cassava green mite.,Science
which environmental condition does the Cassava green mite have.,Pets_and_Animals
what is the estimated number of eggs a cassava green mite can lay?,Food_and_Drink
how can farmers control Cassava green mite.,Food_and_Drink
which other pest management practices can help to prevent and control green mite infestations,Home_and_Garden
how can yellowing be used to check cassava maturity.,Food_and_Drink
"which indicator can be used to check for cassava maturity.
",Food_and_Drink
what is a test dig?,Jobs_and_Education
what is the proper storage facility for cassava plant.,Food_and_Drink
why should cassava be protected from direct sunlight.,Food_and_Drink
name any other way of storing cassava.,Food_and_Drink
why should cassava not be stack too high.,Food_and_Drink
why should  cassava be processed or sold quickly after harvesting.,Food_and_Drink
"which pest feeds on the leaves and stems of cassava, causing defoliation and reduced yield",Health
which pest feeds on the underside of cassava leaves and causes yellowing and curling of the leaves,Health
which pest feeds on the sap of the cassava plant.,Food_and_Drink
"which pest feeds on the underside of the cassava leaves, causing them to turn yellow and dry up",Pets_and_Animals
"what is cassava mealybug
",Food_and_Drink
what is the botanical name for cassava mealybug,Food_and_Drink
what are the signs and symptoms of cassava mealybugs.,Health
